variable,problema,transformacion,justificacion,riesgo,casos_afectados_en_muestra
AREA,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
AREA,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
AREA,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
AREA,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
AREA,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
CODIGO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
CODIGO,codigo fuera del patron dd-dd-dddd-dd,normalizar_codigo,normaliza solo el espacio de borde antes de comparar contra el patron oficial; si el codigo no calza no se inventa uno nuevo,"CODIGO es la llave del establecimiento: forzar un formato sin verificar el valor real podria mezclar dos establecimientos o dejar uno sin identificador valido; los que no calcen quedan para revision manual, no se tocan",0
CODIGO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
CODIGO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
DEPARTAMENTAL,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
DEPARTAMENTAL,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
DEPARTAMENTAL,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
DEPARTAMENTAL,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
DEPARTAMENTAL,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
DEPARTAMENTO,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
DEPARTAMENTO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
