variable,problema_detectado,transformacion,registros_afectados,justificacion
DIRECCION,espacios al inicio/final o multiples espacios internos,normalizar_espacios,485,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos
DIRECCION,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,89,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
DIRECCION,mayusculas inconsistentes,normalizar_mayusculas,10,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas
DIRECCION,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,121,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)"
DIRECTOR,espacios al inicio/final o multiples espacios internos,normalizar_espacios,1082,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos
DIRECTOR,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,2146,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
DIRECTOR,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,7,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)"
DISTRITO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,532,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
ESTABLECIMIENTO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,1395,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos
ESTABLECIMIENTO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,5,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
ESTABLECIMIENTO,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,397,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)"
SUPERVISOR,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,4,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas
SUPERVISOR,espacios al inicio/final o multiples espacios internos,normalizar_espacios,133,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos
SUPERVISOR,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,538,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
SUPERVISOR,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,25,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)"
TELEFONO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,8,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos
TELEFONO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,946,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas"
TELEFONO,telefono con mas de un numero en la celda,separar_telefono_multivalor,132,"se queda con el primer numero de la celda como telefono principal; el resto no se descarta (deberia guardarse en una columna TELEFONO_2, ver riesgo)"
TELEFONO,telefono fuera de formato (no son 8 digitos),normalizar_telefono,3,quita separadores y espacios que no deberian estar en un numero de telefono; si tras limpiarlo no quedan 8 digitos no se fuerza el formato
